id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter
3091,57212,2022-12-07 16:00:00,57213,2022-12-07 16:30:00,BUY,1778.51,1787.3578571428573,1774.0860714285714,1787.3578571428573,0.1,87.77857142857265,884.7857142857265,1.9532702853055715,TP,2022Q4,2022,1,2022-12-07 16:00:00,2022Q4
3092,57214,2022-12-07 17:00:00,57215,2022-12-07 17:30:00,BUY,1783.33,1778.0435714285713,1778.0435714285713,1793.902857142857,0.1,-53.56428571428587,-528.6428571428587,-1.0,SL,2022Q4,2022,1,2022-12-07 17:00:00,2022Q4
3093,57219,2022-12-07 19:30:00,57284,2022-12-09 06:00:00,BUY,1782.88,1795.8635714285715,1776.3882142857144,1795.8635714285715,0.1,129.13571428571396,1298.3571428571395,1.96799651662766,TP,2022Q4,2022,65,2022-12-07 19:30:00,2022Q4
3094,57285,2022-12-09 06:30:00,57289,2022-12-09 08:30:00,BUY,1797.33,1794.4992857142856,1794.4992857142856,1802.9914285714285,0.1,-29.007142857142934,-283.07142857142935,-1.0,SL,2022Q4,2022,4,2022-12-09 06:30:00,2022Q4
3095,57290,2022-12-09 09:00:00,57291,2022-12-09 09:30:00,BUY,1795.88,1792.5714285714287,1792.5714285714287,1802.497142857143,0.1,-33.785714285714405,-330.857142857144,-1.0,SL,2022Q4,2022,1,2022-12-09 09:00:00,2022Q4
3096,57299,2022-12-09 13:30:00,57303,2022-12-09 15:30:00,BUY,1798.64,1794.8975,1794.8975,1806.1250000000002,0.1,-38.12500000000064,-374.25000000000637,-1.0,SL,2022Q4,2022,4,2022-12-09 13:30:00,2022Q4
3097,57309,2022-12-09 18:30:00,57317,2022-12-09 22:30:00,BUY,1802.66,1795.2821428571428,1795.2821428571428,1817.4157142857143,0.1,-74.47857142857238,-737.7857142857238,-1.0,SL,2022Q4,2022,8,2022-12-09 18:30:00,2022Q4
3098,57325,2022-12-12 03:30:00,57332,2022-12-12 07:00:00,SELL,1792.07,1786.355,1794.9274999999998,1786.355,0.1,56.44999999999918,571.4999999999918,1.92826643894115,TP,2022Q4,2022,7,2022-12-12 03:30:00,2022Q4
3099,57333,2022-12-12 07:30:00,57335,2022-12-12 08:30:00,SELL,1786.32,1789.2364285714284,1789.2364285714284,1780.4871428571428,0.1,-29.864285714284687,-291.6428571428469,-1.0,SL,2022Q4,2022,2,2022-12-12 07:30:00,2022Q4
3100,57336,2022-12-12 09:00:00,57337,2022-12-12 09:30:00,SELL,1788.78,1792.0039285714286,1792.0039285714286,1782.3321428571428,0.1,-32.93928571428587,-322.3928571428587,-1.0,SL,2022Q4,2022,1,2022-12-12 09:00:00,2022Q4
3101,57348,2022-12-12 15:00:00,57357,2022-12-12 19:30:00,SELL,1789.23,1781.6957142857143,1792.997142857143,1781.6957142857143,0.1,74.64285714285715,753.4285714285716,1.9452717795978574,TP,2022Q4,2022,9,2022-12-12 15:00:00,2022Q4
3102,57358,2022-12-12 20:00:00,57382,2022-12-13 09:00:00,SELL,1783.0,1787.7742857142857,1787.7742857142857,1773.4514285714286,0.1,-48.44285714285725,-477.42857142857247,-1.0,SL,2022Q4,2022,24,2022-12-12 20:00:00,2022Q4
3103,57396,2022-12-13 16:00:00,57397,2022-12-13 16:30:00,BUY,1811.13,1823.987142857143,1804.7014285714286,1823.987142857143,0.1,127.8714285714289,1285.714285714289,1.9676852055396445,TP,2022Q4,2022,1,2022-12-13 16:00:00,2022Q4
3104,57398,2022-12-13 17:00:00,57398,2022-12-13 17:00:00,BUY,1822.29,1814.3925,1814.3925,1838.085,0.1,-79.67500000000037,-789.7500000000036,-1.0,SL,2022Q4,2022,0,2022-12-13 17:00:00,2022Q4
