cohort,quarter,event_count,mean_raw_reversion_atr,mean_excess_reversion_atr,median_excess_reversion_atr,positive_excess_pct,median_cost_hurdle_atr,worst5pct_mean_excess_atr,positive_mean_excess
H226-C4,2019Q2,21,0.31073045026242385,0.09838134685684,-0.08277618641219445,47.61904761904761,0.20960095124705766,-3.159235575597827,True
H226-C4,2019Q3,24,0.46544779440911516,0.3466611428100961,0.4762902885579202,58.333333333333336,0.1071216467881925,-3.622248109557776,True
H226-C4,2019Q4,17,-0.2685058670202433,-0.42637171321110123,-0.4511971904091378,47.05882352941176,0.1717513951011189,-4.554260431178117,False
H226-C4,2020Q1,27,0.16559127387157216,0.04999567933331886,-0.28039171092009607,48.148148148148145,0.12716294530729214,-4.063626868659888,True
H226-C4,2020Q2,17,0.06429743967217309,-0.008100553204171416,-0.24959653146892402,41.17647058823529,0.06600900005790421,-1.8241214988108394,False
H226-C4,2020Q3,20,0.26619919529713343,0.1817875885739033,0.4246357451905878,65.0,0.06833569019812827,-7.9890611777232445,True
H226-C4,2020Q4,20,-0.5788404959170862,-0.6695582996885409,-0.5107714099647809,40.0,0.09646523346025643,-6.282727807980584,False
H226-C4,2021Q1,13,-0.10126550265542136,-0.18453611251832497,-0.2631327955811319,46.15384615384615,0.0790751020456793,-3.922078423491946,False
H226-C4,2021Q2,17,-0.36227213768952826,-0.4783553541282797,-0.788453460186228,35.294117647058826,0.12113818657187854,-4.535489608297768,False
H226-C4,2021Q3,21,-0.13615964437328468,-0.25487940531977255,-0.18553380839831643,47.61904761904761,0.12134829665157956,-3.6163654604536726,False
H226-C4,2021Q4,20,0.6810152205847961,0.5577307902930807,0.44049366103684817,65.0,0.12779293173027,-3.2833641958736624,True
H226-C4,2022Q1,18,0.8157310969713085,0.7105209738142414,0.17481235819963575,55.55555555555556,0.10437967565314317,-3.358244247530739,True
H226-C4,2022Q2,14,0.28679168099370517,0.18944278252500266,0.2158287877719723,50.0,0.09330458362231678,-2.8471079303004507,True
H226-C4,2022Q3,16,0.2708127188333526,0.16594635878661196,-0.12697902280147588,50.0,0.10077898846280553,-3.332761923951502,True
H226-C4,2022Q4,23,0.23127525455644005,0.13122216121550728,0.16881692665499576,56.52173913043478,0.09892018891800994,-2.4161286457274986,True
H226-C4,2023Q1,18,-0.1425977192830777,-0.2368716128232979,-0.3142636216480438,50.0,0.09222782578820898,-6.7871831087077465,False
H226-C4,2023Q2,9,0.31841602526857565,0.21913019368390269,0.26947990404103894,55.55555555555556,0.09998201009241468,-4.001340966313295,True
H226-C4,2023Q3,11,0.2240742275459203,0.07692714344883482,-0.007859782519334599,36.36363636363637,0.14151226191779254,-2.6382934516074563,True
H226-C4,2023Q4,22,0.18108231927113716,0.071176037686589,-0.7407383045731637,31.818181818181817,0.1125174992953544,-2.896251923477341,True
H226-C4,2024Q1,14,-0.33106818728937853,-0.4406133770750165,-0.061132855787792255,50.0,0.10013914324782203,-3.496143266648172,False
H226-C4,2024Q2,16,-0.9546202136905543,-1.0203850807016142,-1.6583353579042293,31.25,0.06382336566814825,-3.701546159723168,False
H226-C4,2024Q3,14,0.9405463256907493,0.8640272526798752,0.8666925101397711,71.42857142857143,0.07378880353744549,-1.358757480245313,True
H226-C4,2024Q4,16,-0.16524806744460374,-0.24016247017793707,-0.5235702728313889,43.75,0.0752603690570125,-3.597392576088446,False
H226-C4,2025Q1,13,0.686321746416097,0.6100694227783371,1.1475708515410785,61.53846153846154,0.07984821783541282,-5.5904712847178395,True
H226-C4,2025Q2,30,-0.11968286556023067,-0.16104150928499683,0.07587726398945038,50.0,0.04102840147306204,-7.406014626549073,False
H226-C4,2025Q3,19,0.4975792484986235,0.433309456628769,1.0541269561421582,63.1578947368421,0.0626675098244478,-5.851169027270945,True
H226-C4,2025Q4,20,0.1712698439226877,0.1415259296073401,0.2137914232707141,55.00000000000001,0.03042906247809516,-4.808694324620665,True
H226-C4,2026Q1,21,-0.4670472082747296,-0.48391862222431004,-1.0611425350260115,42.857142857142854,0.016085233426456288,-4.8894591759919654,False
H226-C4,2026Q2,28,1.0894975105946572,1.0642438512983747,0.7025614550615841,60.71428571428571,0.025667628754274415,-3.7464785853542626,True
