datetime,year,direction,entry_price,exit_price,sl_price,tp_price,lot,net_pnl_usd,balance_after
2021-06-01 17:00:00,2021,BUY,1902.305,1894.7075000000002,1894.7575000000002,1921.765,0.04,-31.86999999999942,1092.7407142857157
2021-06-10 12:00:00,2021,SELL,1877.205,1882.2771428571427,1882.2271428571428,1864.4792857142859,0.05,-27.21071428571404,1065.5300000000018
2021-06-16 20:00:00,2021,SELL,1855.595,1861.9657142857143,1861.9157142857143,1839.4064285714287,0.04,-26.96285714285703,1038.5671428571447
2021-06-24 13:00:00,2021,SELL,1774.945,1782.8799999999999,1782.83,1754.5849999999998,0.03,-24.914999999999836,1013.6521428571449
2021-07-06 15:00:00,2021,BUY,1800.645,1811.8992857142857,1796.1746428571428,1811.8992857142857,0.06,65.30571428571446,1078.9578571428594
2021-07-08 16:00:00,2021,BUY,1817.345,1809.6082142857144,1809.6582142857144,1837.1764285714287,0.04,-32.42714285714235,1046.530714285717
2021-07-12 04:00:00,2021,BUY,1812.205,1805.2996428571428,1805.3496428571427,1829.8192857142856,0.04,-29.101428571428624,1017.4292857142884
2021-07-23 15:00:00,2021,SELL,1795.555,1801.6,1801.55,1780.2350000000001,0.04,-25.659999999999382,991.769285714289
2021-07-28 18:00:00,2021,SELL,1794.975,1800.7510714285713,1800.7010714285714,1780.3721428571428,0.04,-24.584285714285652,967.1850000000034
2021-09-14 15:00:00,2021,SELL,1784.155,1788.1257142857141,1788.0757142857142,1774.3664285714285,0.06,-26.044285714284996,941.1407142857183
2021-09-28 16:00:00,2021,SELL,1733.245,1740.0196428571428,1739.9696428571428,1715.9792857142857,0.03,-21.433928571428723,919.7067857142896
2021-09-30 04:00:00,2021,SELL,1724.495,1732.1310714285714,1732.0810714285715,1704.9321428571427,0.03,-24.01821428571462,895.688571428575
2021-10-12 10:00:00,2021,BUY,1761.795,1757.6817857142858,1757.7317857142857,1771.9635714285716,0.06,-26.899285714285924,868.789285714289
2021-10-13 15:00:00,2021,BUY,1773.465,1769.0828571428572,1769.1328571428571,1784.3507142857143,0.05,-23.760714285713767,845.0285714285752
2021-11-10 15:00:00,2021,BUY,1813.965,1836.2164285714284,1805.3707142857143,1836.2164285714284,0.02,43.76285714285701,888.7914285714322
2021-11-15 03:00:00,2021,BUY,1867.965,1860.1639285714284,1860.2139285714284,1887.9678571428572,0.03,-24.51321428571451,864.2782142857177
2021-11-24 16:00:00,2021,SELL,1808.255,1780.4178571428572,1818.9439285714286,1780.4178571428572,0.02,54.934285714285814,919.2125000000035
2021-12-27 03:00:00,2021,BUY,1798.345,1810.9135714285715,1793.3817857142858,1810.9135714285715,0.05,60.992857142857154,980.2053571428606
2021-12-28 16:00:00,2021,BUY,1817.735,1814.1564285714285,1814.2064285714284,1826.477857142857,0.07,-27.639999999999958,952.5653571428606
2022-01-19 17:00:00,2022,BUY,1824.035,1835.7778571428573,1819.3814285714286,1835.7778571428573,0.05,56.86428571428623,1056.8642857142863
2022-02-09 18:00:00,2022,BUY,1820.005,1832.7564285714286,1814.9732142857144,1832.7564285714286,0.05,61.907142857142524,1118.771428571429
2022-02-10 15:00:00,2022,BUY,1834.165,1829.2921428571428,1829.3421428571428,1846.3592857142858,0.06,-31.45714285714277,1087.3142857142861
2022-02-11 20:00:00,2022,BUY,1840.475,1856.735,1834.1274999999998,1856.735,0.04,63.55999999999997,1150.874285714286
2022-02-21 02:00:00,2022,BUY,1904.855,1896.997142857143,1897.047142857143,1925.0092857142856,0.04,-32.91142857142811,1117.962857142858
2022-02-24 05:00:00,2022,BUY,1906.295,1922.3407142857145,1900.027857142857,1922.3407142857145,0.04,62.70285714285776,1180.6657142857157
2022-03-04 03:00:00,2022,BUY,1947.245,1937.0514285714285,1937.1014285714284,1973.627857142857,0.03,-31.690714285714293,1148.9750000000015
2022-03-07 07:00:00,2022,BUY,1997.915,1984.5210714285715,1984.5710714285715,2032.8321428571428,0.02,-27.527857142856863,1121.4471428571446
2022-03-08 19:00:00,2022,BUY,2047.325,2027.6332142857143,2027.6832142857143,2099.0364285714286,0.01,-20.061785714285744,1101.385357142859
2022-03-29 16:00:00,2022,SELL,1896.975,1906.9275,1906.8775,1871.235,0.03,-30.9675000000003,1070.4178571428588
2022-04-12 21:00:00,2022,BUY,1975.665,1965.4714285714285,1965.5214285714285,2002.047857142857,0.03,-31.690714285714293,1038.7271428571446
2022-04-19 03:00:00,2022,BUY,1986.825,1975.1935714285717,1975.2435714285716,2017.0421428571426,0.02,-24.002857142856772,1014.7242857142878
2022-05-16 10:00:00,2022,SELL,1825.285,1796.3307142857143,1836.392857142857,1796.3307142857143,0.02,57.168571428571575,1071.8928571428594
2022-05-24 17:00:00,2022,BUY,1867.605,1860.9428571428573,1860.9928571428572,1884.5707142857143,0.04,-28.128571428570904,1043.7642857142885
2022-06-30 15:00:00,2022,SELL,1810.215,1814.76,1814.71,1798.895,0.06,-29.490000000000435,1014.274285714288
2022-07-05 12:00:00,2022,SELL,1800.735,1805.1117857142856,1805.0617857142856,1789.8635714285713,0.06,-28.48071428571413,985.7935714285738
2022-07-21 12:00:00,2022,SELL,1699.935,1682.4292857142857,1706.7496428571428,1682.4292857142857,0.04,68.54285714285699,1054.3364285714308
2022-08-01 15:00:00,2022,BUY,1773.535,1766.856785714286,1766.906785714286,1790.5435714285713,0.04,-28.192857142856592,1026.1435714285742
2022-08-12 17:00:00,2022,BUY,1797.955,1791.8092857142858,1791.8592857142858,1813.5435714285713,0.04,-26.062857142856483,1000.0807142857177
2022-08-18 19:00:00,2022,SELL,1769.075,1756.6635714285717,1773.9792857142857,1756.6635714285717,0.05,60.2071428571418,1060.2878571428596
2022-08-22 17:00:00,2022,SELL,1734.775,1739.3435714285715,1739.2935714285716,1723.392142857143,0.06,-29.631428571428586,1030.656428571431
2022-08-26 15:00:00,2022,SELL,1746.665,1751.087857142857,1751.037857142857,1735.6707142857144,0.06,-28.757142857142497,1001.8992857142885
2022-09-07 17:00:00,2022,SELL,1703.475,1710.680357142857,1710.630357142857,1685.060714285714,0.04,-30.301428571428442,971.59785714286
2022-09-23 21:00:00,2022,SELL,1656.895,1641.1207142857143,1663.0603571428571,1641.1207142857143,0.04,61.6171428571429,1033.2150000000029
2022-10-04 18:00:00,2022,BUY,1695.005,1722.6650000000002,1684.3825000000002,1722.6650000000002,0.02,54.58000000000016,1087.795000000003
2022-10-17 10:00:00,2022,SELL,1644.565,1654.8110714285715,1654.7610714285715,1618.0421428571428,0.03,-31.84821428571432,1055.9467857142888
2022-10-19 10:00:00,2022,SELL,1640.745,1645.7507142857141,1645.7007142857142,1628.1964285714284,0.05,-26.87857142857124,1029.0682142857177
2022-11-01 04:00:00,2022,SELL,1632.015,1638.4596428571429,1638.409642857143,1615.6292857142857,0.04,-27.258571428571013,1001.8096428571466
2022-11-04 06:00:00,2022,SELL,1636.675,1646.1292857142855,1646.0792857142856,1612.2635714285714,0.03,-29.472857142856682,972.3367857142899
2022-11-08 17:00:00,2022,BUY,1679.155,1694.135,1673.2875,1694.135,0.04,58.440000000000076,1030.77678571429
2022-11-28 18:00:00,2022,BUY,1751.975,1742.5539285714285,1742.6039285714285,1776.2978571428569,0.03,-29.373214285714184,1001.4035714285759
2022-12-02 01:00:00,2022,BUY,1778.445,1804.030714285714,1768.600357142857,1804.030714285714,0.03,75.64714285714253,1077.0507142857184
2022-12-05 09:00:00,2022,BUY,1806.525,1797.452142857143,1797.5021428571429,1829.919285714286,0.03,-28.32857142857152,1048.722142857147
2022-12-12 20:00:00,2022,BUY,1788.185,1779.7785714285715,1779.8285714285714,1809.8021428571428,0.03,-26.329285714285433,1022.3928571428615
2023-01-03 09:00:00,2023,BUY,1829.325,1848.1964285714287,1821.9982142857143,1848.1964285714287,0.03,55.50428571428587,1055.504285714286
2023-01-12 14:00:00,2023,BUY,1863.455,1888.4607142857142,1853.827857142857,1888.4607142857142,0.03,73.90714285714274,1129.4114285714288
2023-01-17 04:00:00,2023,BUY,1919.755,1909.2175000000002,1909.2675000000002,1947.055,0.03,-32.72249999999973,1096.6889285714292
2023-01-18 18:00:00,2023,BUY,1917.335,1910.1435714285715,1910.1935714285714,1935.712142857143,0.04,-30.24571428571424,1066.443214285715
2023-01-20 16:00:00,2023,BUY,1929.675,1921.5546428571429,1921.6046428571428,1950.5292857142858,0.03,-25.47107142857122,1040.9721428571438
2023-01-26 15:00:00,2023,BUY,1942.385,1932.77,1932.82,1967.225,0.03,-29.955000000000027,1011.0171428571438
2023-02-15 10:00:00,2023,SELL,1861.685,1833.0107142857141,1872.6878571428572,1833.0107142857141,0.02,56.60857142857163,1067.6257142857155
2023-02-16 03:00:00,2023,SELL,1833.555,1840.6982142857144,1840.6482142857144,1815.3064285714288,0.04,-30.052857142857174,1037.5728571428583
2023-02-23 08:00:00,2023,SELL,1824.765,1833.2325,1833.1825000000001,1802.9850000000001,0.03,-26.512499999999918,1011.0603571428584
2023-03-03 16:00:00,2023,BUY,1848.435,1844.0528571428572,1844.1028571428571,1859.3207142857143,0.06,-28.512857142856518,982.5475000000018
2023-03-15 20:00:00,2023,BUY,1918.025,1909.0785714285714,1909.1285714285714,1941.082142857143,0.03,-27.949285714286006,954.5982142857158
2023-04-19 15:00:00,2023,SELL,1970.385,1978.8857142857144,1978.8357142857144,1948.5164285714284,0.03,-26.6121428571431,927.9860714285727
2023-05-04 05:00:00,2023,BUY,2056.585,2041.2957142857144,2041.3457142857144,2096.5564285714286,0.02,-31.318571428571193,896.6675000000015
2023-05-16 15:00:00,2023,SELL,2006.955,2011.917857142857,2011.867857142857,1994.5207142857143,0.05,-26.664285714285235,870.0032142857162
2023-05-18 18:00:00,2023,SELL,1966.795,1952.8692857142858,1972.267142857143,1952.8692857142858,0.04,54.222857142857286,924.2260714285735
2023-05-23 16:00:00,2023,SELL,1960.165,1967.4142857142856,1967.3642857142856,1941.6335714285715,0.03,-22.8578571428569,901.3682142857166
2023-05-30 08:00:00,2023,SELL,1958.825,1935.9392857142857,1967.6571428571428,1935.9392857142857,0.03,67.54714285714307,968.9153571428596
2023-06-08 15:00:00,2023,SELL,1946.965,1955.4989285714285,1955.4489285714285,1925.007857142857,0.03,-26.711785714285597,942.203571428574
2023-06-14 12:00:00,2023,SELL,1942.905,1952.1910714285714,1952.1410714285714,1918.9421428571432,0.03,-28.96821428571421,913.2353571428598
2023-06-23 15:00:00,2023,SELL,1921.945,1928.1260714285713,1928.0760714285714,1906.2621428571426,0.04,-26.204285714285543,887.0310714285743
2023-07-14 17:00:00,2023,BUY,1959.205,1951.2067857142856,1951.2567857142856,1979.7335714285712,0.03,-25.104642857142935,861.9264285714313
2023-07-20 09:00:00,2023,BUY,1984.975,1979.0425,1979.0925,1999.9950000000001,0.04,-25.209999999999564,836.7164285714317
2023-07-26 16:00:00,2023,BUY,1972.105,1968.2489285714287,1968.2989285714286,1981.5878571428573,0.05,-21.130357142856703,815.586071428575
2023-08-08 17:00:00,2023,SELL,1925.075,1930.6935714285714,1930.6435714285715,1910.892142857143,0.04,-23.954285714285543,791.6317857142894
2023-08-11 11:00:00,2023,SELL,1911.835,1918.8474999999999,1918.7975,1893.9350000000002,0.03,-22.147499999999454,769.48428571429
2023-08-17 16:00:00,2023,SELL,1898.195,1902.9585714285713,1902.9085714285713,1886.2921428571428,0.04,-20.53428571428547,748.9500000000045
2023-08-28 19:00:00,2023,BUY,1924.765,1920.3753571428572,1920.4253571428571,1935.6707142857144,0.04,-19.038571428571668,729.9114285714328
2023-09-01 16:00:00,2023,BUY,1950.005,1945.8928571428573,1945.9428571428573,1960.1707142857144,0.04,-17.928571428571086,711.9828571428617
2023-09-14 15:00:00,2023,SELL,1912.685,1903.2707142857141,1916.465357142857,1903.2707142857141,0.05,45.22142857142912,757.2042857142908
2023-09-28 17:00:00,2023,SELL,1881.255,1867.795,1886.5525000000002,1867.795,0.04,52.36000000000015,809.5642857142909
2023-10-02 12:00:00,2023,SELL,1854.505,1835.1678571428572,1862.0064285714286,1835.1678571428572,0.03,56.901428571428724,866.4657142857196
2023-10-11 15:00:00,2023,BUY,1870.485,1866.7189285714285,1866.7689285714284,1879.727857142857,0.06,-24.81642857142853,841.6492857142911
