id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
1082,58135,2023-01-06 17:30:00,58164,2023-01-09 09:00:00,BUY,1857.69,1880.307857142857,1848.642857142857,1880.307857142857,0.1,225.4785714285702,2261.785714285702,2.473127546223717,TP,2023Q1,2023,29,2023-01-06 17:30:00,2023Q1,2023
1083,58225,2023-01-10 16:30:00,58229,2023-01-10 18:30:00,BUY,1877.34,1872.7060714285715,1872.7060714285715,1888.9248214285712,0.1,-47.03928571428442,-463.39285714284415,-1.0,SL,2023Q1,2023,4,2023-01-10 16:30:00,2023Q1,2023
1084,58308,2023-01-12 12:00:00,58315,2023-01-12 15:30:00,BUY,1884.48,1881.5164285714286,1881.5164285714286,1891.8889285714286,0.1,-30.33571428571413,-296.3571428571413,-1.0,SL_AMBIGUOUS_PESSIMISTIC,2023Q1,2023,7,2023-01-12 12:00:00,2023Q1,2023
1085,58316,2023-01-12 16:00:00,58316,2023-01-12 16:00:00,BUY,1899.69,1892.775,1892.775,1916.9775,0.1,-69.84999999999964,-691.4999999999964,-1.0,SL,2023Q1,2023,0,2023-01-12 16:00:00,2023Q1,2023
1086,58323,2023-01-12 19:30:00,58383,2023-01-16 03:30:00,BUY,1895.89,1923.65875,1884.7825000000003,1923.65875,0.1,276.98749999999956,2776.8749999999955,2.478080966226825,TP,2023Q1,2023,60,2023-01-12 19:30:00,2023Q1,2023
1087,58445,2023-01-17 14:00:00,58446,2023-01-17 14:30:00,BUY,1912.79,1908.5471428571427,1908.5471428571427,1923.3971428571429,0.1,-43.12857142857247,-424.2857142857247,-1.0,SL,2023Q1,2023,1,2023-01-17 14:00:00,2023Q1,2023
1088,58450,2023-01-17 16:30:00,58451,2023-01-17 17:00:00,BUY,1915.75,1910.6532142857143,1910.6532142857143,1928.4919642857142,0.1,-51.66785714285716,-509.67857142857156,-1.0,SL,2023Q1,2023,1,2023-01-17 16:30:00,2023Q1,2023
1089,58484,2023-01-18 10:30:00,58500,2023-01-18 18:30:00,BUY,1912.11,1906.2846428571427,1906.2846428571427,1926.673392857143,0.1,-58.95357142857229,-582.5357142857229,-1.0,SL,2023Q1,2023,16,2023-01-18 10:30:00,2023Q1,2023
1090,58544,2023-01-19 17:30:00,58575,2023-01-20 10:00:00,BUY,1921.66,1935.6876785714285,1916.0489285714286,1935.6876785714285,0.1,139.57678571428397,1402.7678571428396,2.45687433205503,TP,2023Q1,2023,31,2023-01-19 17:30:00,2023Q1,2023
1091,58626,2023-01-23 12:30:00,58629,2023-01-23 14:00:00,BUY,1927.94,1923.5835714285715,1923.5835714285715,1938.8310714285715,0.1,-44.264285714285236,-435.64285714285234,-1.0,SL,2023Q1,2023,3,2023-01-23 12:30:00,2023Q1,2023
