cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio,quarter,positive_mean
H226-C2,QUARTER_2022Q3,20,-0.1497046240658845,-0.168040513900292,40.0,-1.7286640831210547,1.724290412804462,-4.498783799777129,90.0,0.1018283530442434,-1.4701664083758612,2022Q3,False
H226-C2,QUARTER_2022Q4,25,0.2254775479672468,0.2619572999818754,56.00000000000001,-1.964633638536067,2.227281856721343,-2.3033959353268556,76.0,0.09898564087538558,2.277881377270706,2022Q4,True
H226-C2,QUARTER_2023Q1,20,-0.11017218377619584,-0.09854886497027071,50.0,-2.773630988811966,2.11992365113524,-6.676710138474456,80.0,0.09158241204964263,-1.20298408079137,2023Q1,False
H226-C2,QUARTER_2023Q2,12,0.4097933033560655,0.6823083520213644,58.333333333333336,-2.0858827614637705,2.977711934109196,-3.9105303911912914,75.0,0.09995050011875431,4.099962510134289,2023Q2,True
H226-C2,QUARTER_2023Q3,12,0.06650699136754068,-0.06266373119006194,50.0,-1.6464395250419768,2.360575458900133,-2.47686823085901,83.33333333333334,0.14432790254093047,0.4608048076405719,2023Q3,True
H226-C2,QUARTER_2023Q4,23,0.13984841229570708,-0.6271426773802882,34.78260869565217,-2.4321973859400288,1.9420259304000278,-2.7844624394936917,69.56521739130434,0.11051031831695157,1.2654783229798663,2023Q4,True
H226-C2,QUARTER_2024Q1,15,-0.30298427459081073,0.0901905031891388,53.333333333333336,-2.379969322376633,1.4622040250257038,-3.418987001453178,86.66666666666667,0.10057127517753729,-3.0126323252435263,2024Q1,False
H226-C2,QUARTER_2024Q2,19,-0.5799284202393867,-0.9753086021733418,42.10526315789473,-3.230628521659545,2.244149175511488,-3.6420238094160617,52.63157894736842,0.06812438102919005,-8.512788101383233,2024Q2,False
H226-C2,QUARTER_2024Q3,16,0.806823437974652,0.7610869840525429,75.0,-0.7081185943952312,2.0387359220746895,-1.2853111299617814,87.5,0.07378880353744549,10.934225780815304,2024Q3,True
H226-C2,QUARTER_2024Q4,17,-0.27803096008716494,-0.8375314328118041,41.17647058823529,-2.849671622282307,3.19996820025112,-3.5238356671844007,64.70588235294117,0.07355690890404525,-3.7798075562127744,2024Q4,False
H226-C2,QUARTER_2025Q1,13,0.686321746416097,1.2147047953241037,61.53846153846154,-4.7247269614241,4.646802466929144,-5.533169849384409,92.3076923076923,0.07984821783541282,8.595329551760042,2025Q1,True
H226-C2,QUARTER_2025Q2,32,0.06049362768155542,0.27494799329326997,53.125,-4.574023572142387,4.188432015093577,-7.360700911091354,71.875,0.04102840147306204,1.4744329661801139,2025Q2,True
H226-C2,QUARTER_2025Q3,20,0.5703895991451227,1.2648918172851409,65.0,-3.1760012751840345,3.973137208849312,-5.765867246463351,80.0,0.06367977276107653,8.957155065317165,2025Q3,True
H226-C2,QUARTER_2025Q4,21,0.2549977234052345,0.4215674900310548,57.14285714285714,-2.12729206259303,2.728480502172823,-3.9329759537337337,80.95238095238095,0.030190947176900768,8.446165067664205,2025Q4,True
H226-C2,QUARTER_2026Q1,23,-0.3541433325215168,-0.5519600370811306,47.82608695652174,-3.9841335044712616,2.7564373395594135,-4.86503903034019,43.47826086956522,0.016503057665986972,-21.459255593065706,2026Q1,False
H226-C2,QUARTER_2026Q2,30,1.0350927445590778,0.7321448569295587,60.0,-1.8818037056301438,5.355597783231456,-3.7288321070579933,66.66666666666666,0.024581497808644687,42.10861163208135,2026Q2,True
H226-C3,QUARTER_2018Q2,27,-0.02169294211575676,0.1616008322832333,55.55555555555556,-2.649793275424516,1.8758069258483423,-4.116380250852572,81.48148148148148,0.2068490653225386,-0.10487329049290639,2018Q2,False
H226-C3,QUARTER_2018Q3,33,-0.30742906011514604,-0.2367700051914462,45.45454545454545,-2.8269031889069565,1.6521080080350512,-4.4582260920519605,81.81818181818183,0.19382350621709069,-1.5861288762922916,2018Q3,False
H226-C3,QUARTER_2018Q4,33,-0.0570109593067143,0.256758605818955,54.54545454545454,-2.3928385762287925,1.9807388235516326,-3.634151905314191,78.78787878787878,0.2068310500333331,-0.27564023533955057,2018Q4,False
H226-C3,QUARTER_2019Q1,24,0.21192292606655097,0.5957848097786522,58.333333333333336,-2.166398040823683,2.533139300900686,-4.980584297534076,87.5,0.22545426311064765,0.9399818976257024,2019Q1,True
H226-C3,QUARTER_2019Q2,23,0.03731416236448,0.0153289234096491,52.17391304347826,-2.7736440186794433,3.1527200948690286,-3.2263054542044833,69.56521739130434,0.22387182810143214,0.16667645358027652,2019Q2,True
H226-C3,QUARTER_2019Q3,30,0.4684700457633947,0.5517431118917073,60.0,-2.060298230127143,2.462133186226476,-3.4966996728820394,66.66666666666666,0.1062401988579512,4.409536604781436,2019Q3,True
H226-C3,QUARTER_2019Q4,28,0.060279944175766584,0.43482465439874396,53.57142857142857,-1.6538146021066455,1.7451201590643324,-3.9263616358074653,78.57142857142857,0.16992303176793985,0.35474852083671377,2019Q4,True
H226-C3,QUARTER_2020Q1,32,0.40626912060917664,-0.052550000113366246,50.0,-2.1707140935568683,2.930766110379698,-3.91770214911321,59.375,0.12812143744678786,3.1709691110662934,2020Q1,True
H226-C3,QUARTER_2020Q2,20,0.004881341608844414,-0.19653570271355153,35.0,-1.3957900361972266,1.4837214469795872,-1.723480312669552,70.0,0.06459206459824035,0.07557184677724939,2020Q2,True
H226-C3,QUARTER_2020Q3,26,0.1704135811597904,0.31418689857979354,69.23076923076923,-1.9442291304160202,2.129043218278505,-5.429135476401373,92.3076923076923,0.06648346402563102,2.563247623410413,2020Q3,True
H226-C3,QUARTER_2020Q4,28,-0.5677238792442864,-0.24710201612113902,46.42857142857143,-2.8597842361993777,1.3784764149966624,-5.218138040789963,75.0,0.09483039386543327,-5.9867291076519304,2020Q4,False
H226-C3,QUARTER_2021Q1,17,-0.00559311808344007,-0.1821688584792473,47.05882352941176,-2.330319031010847,2.4301268096888475,-3.829726319333195,82.35294117647058,0.0790751020456793,-0.07073172134775235,2021Q1,False
H226-C3,QUARTER_2021Q2,25,0.04002279589917802,-0.3716120308220915,40.0,-2.0664909665418842,3.048805927053669,-3.755450974815329,84.0,0.11953472330977317,0.3348215045050909,2021Q2,True
H226-C3,QUARTER_2021Q3,27,-0.19536607409308201,-0.2912311526632947,44.44444444444444,-2.6463597344773273,2.315561979189039,-3.5374692400139294,85.18518518518519,0.1203644676234591,-1.623120825859118,2021Q3,False
H226-C3,QUARTER_2021Q4,26,0.5575683920340804,0.5844221648127366,61.53846153846154,-1.749539390341968,2.9593411849998565,-2.670851605646353,88.46153846153845,0.1262896521580938,4.414996656543933,2021Q4,True
H226-C3,QUARTER_2022Q1,27,0.41746405780244805,0.396041057129661,59.25925925925925,-1.7679714593081453,2.816307102738492,-6.660222390636906,70.37037037037037,0.1010034786813103,4.133165146911873,2022Q1,True
H226-C3,QUARTER_2022Q2,23,0.18969578445253732,-0.0385557680736296,47.82608695652174,-1.1563171077780916,1.503130295117142,-2.4254501442135687,82.6086956521739,0.09378901421101456,2.0225800009555863,2022Q2,True
H226-C3,QUARTER_2022Q3,27,-0.1893381515969097,-0.1294399691198126,44.44444444444444,-2.1813818738251243,1.5619699419703654,-3.643813165149087,81.48148148148148,0.10700739379583037,-1.7693931688324833,2022Q3,False
H226-C3,QUARTER_2022Q4,26,0.13558404721540154,0.07454030165672271,50.0,-1.9593757158785086,2.2123605890672104,-2.3033959353268556,76.92307692307693,0.09934963323957206,1.3647161322523826,2022Q4,True
H226-C3,QUARTER_2023Q1,25,0.07201649884433942,0.2365176463060604,56.00000000000001,-2.5969245075067127,2.3854130468868666,-4.902733744781283,84.0,0.09475862276702923,0.7599994252913223,2023Q1,True
H226-C3,QUARTER_2023Q2,18,0.42630720771688657,0.5137556199965758,61.111111111111114,-1.3565292370114737,2.401423673936549,-3.9105303911912914,88.88888888888889,0.09639250167925204,4.422617945277863,2023Q2,True
H226-C3,QUARTER_2023Q3,14,0.415183919125362,0.30885777271704384,64.28571428571429,-1.3392917854983546,2.3111827540112095,-2.47686823085901,85.71428571428571,0.1381444190083585,3.0054338937879286,2023Q3,True
H226-C3,QUARTER_2023Q4,27,0.20257384696464112,-0.5767810934579453,40.74074074074074,-2.312251511064319,1.7703458417320337,-2.7844624394936917,74.07407407407408,0.11452468027375722,1.7688226370107576,2023Q4,True
H226-C3,QUARTER_2024Q1,19,-0.18302833270218402,-0.0903594790070229,47.368421052631575,-2.1670854565823827,1.5743257843131142,-3.418987001453178,89.47368421052632,0.09970701131810675,-1.8356616077704675,2024Q1,False
H226-C3,QUARTER_2024Q2,18,-0.7307718700068586,-1.214088757714183,38.88888888888889,-3.2746931505268098,1.879217548889436,-3.6420238094160617,50.0,0.06459218292488134,-11.31362708172788,2024Q2,False
H226-C3,QUARTER_2024Q3,22,0.5077438742811724,0.7610869840525429,68.18181818181817,-1.592377631770922,2.5229725978988005,-3.3160688586263496,86.36363636363636,0.0706880608659206,7.1828802213749885,2024Q3,True
H226-C3,QUARTER_2024Q4,22,-0.466433421306167,-0.888053548063791,40.909090909090914,-3.3685142801742654,3.0299658130866374,-5.192283940866693,68.18181818181817,0.0733948866622708,-6.355121487583694,2024Q4,False
