Trade_ID,Entry_Time,Date,Sub_Engine,Type,Entry_Price,Exit_Price,PnL_USD,Balance_USD
189,2024-10-22 20:00:00,2024-10-22,CP95_PinbarKeltnerBuy,BUY,2746.65,2739.47,-16.64,2062.77
190,2024-10-22 20:00:00,2024-10-22,CP95_Donchian5Buy,BUY,2746.65,2739.47,-16.5,2046.27
191,2024-10-22 20:00:00,2024-10-22,CP95_Donchian7Buy,BUY,2746.65,2739.47,-16.37,2029.9
192,2024-10-22 20:00:00,2024-10-22,CP95_Donchian10Buy,BUY,2746.65,2739.47,-16.24,2013.66
193,2024-10-22 20:00:00,2024-10-22,CP95_Donchian12Buy,BUY,2746.65,2739.47,-16.11,1997.55
194,2024-10-22 20:00:00,2024-10-22,CP95_Donchian15Buy,BUY,2746.65,2739.47,-15.98,1981.57
195,2024-10-22 20:00:00,2024-10-22,CP95_Donchian20Buy,BUY,2746.65,2738.78,-15.85,1965.72
196,2024-10-22 20:00:00,2024-10-22,CP95_Donchian3Buy,BUY,2746.65,2739.47,-15.73,1949.99
197,2024-10-22 23:00:00,2024-10-22,CP95_Donchian20Buy,BUY,2748.47,2741.23,-15.6,1934.39
198,2024-10-29 19:00:00,2024-10-29,CP95_PinbarKeltnerBuy,BUY,2769.68,2786.21,32.95,1967.34
199,2024-11-22 05:00:00,2024-11-22,CP95_PinbarKeltnerBuy,BUY,2686.06,2700.37,33.34,2000.68
200,2024-11-22 18:00:00,2024-11-22,CP95_Donchian3Buy,BUY,2705.06,2695.55,-16.01,1984.68
201,2024-11-25 01:00:00,2024-11-25,CP95_Donchian20Buy,BUY,2719.51,2708.12,-15.88,1968.8
202,2024-12-11 16:00:00,2024-12-11,CP95_Donchian5Buy,BUY,2706.27,2725.54,32.2,2001.0
203,2024-12-11 16:00:00,2024-12-11,CP95_Donchian7Buy,BUY,2706.27,2725.73,33.04,2034.04
204,2024-12-11 16:00:00,2024-12-11,CP95_Donchian10Buy,BUY,2706.27,2696.84,-16.27,2017.77
205,2024-12-11 16:00:00,2024-12-11,CP95_Donchian12Buy,BUY,2706.27,2696.84,-16.14,2001.62
206,2024-12-11 16:00:00,2024-12-11,CP95_Donchian15Buy,BUY,2706.27,2696.84,-16.01,1985.61
207,2024-12-11 16:00:00,2024-12-11,CP95_Donchian3Buy,BUY,2706.27,2725.54,32.47,2018.08
208,2025-01-10 18:00:00,2025-01-10,CP95_PinbarKeltnerBuy,BUY,2696.3,2688.89,-16.14,2001.94
209,2025-01-15 20:00:00,2025-01-15,CP95_PinbarKeltnerBuy,BUY,2693.93,2708.35,33.94,2035.88
210,2025-01-15 20:00:00,2025-01-15,CP95_Donchian3Buy,BUY,2693.93,2707.7,32.95,2068.83
211,2025-01-15 23:00:00,2025-01-15,CP95_Donchian20Buy,BUY,2695.15,2709.63,33.4,2102.23
212,2025-01-21 17:00:00,2025-01-21,CP95_PinbarKeltnerBuy,BUY,2738.67,2753.72,35.69,2137.92
213,2025-01-21 17:00:00,2025-01-21,CP95_Donchian5Buy,BUY,2738.67,2753.04,34.65,2172.57
214,2025-01-21 17:00:00,2025-01-21,CP95_Donchian7Buy,BUY,2738.67,2753.17,35.55,2208.12
215,2025-01-21 17:00:00,2025-01-21,CP95_Donchian10Buy,BUY,2738.67,2753.38,36.64,2244.76
216,2025-01-21 17:00:00,2025-01-21,CP95_Donchian12Buy,BUY,2738.67,2753.58,37.77,2282.53
217,2025-01-21 17:00:00,2025-01-21,CP95_Donchian15Buy,BUY,2738.67,2753.72,38.76,2321.28
218,2025-01-21 17:00:00,2025-01-21,CP95_Donchian20Buy,BUY,2738.67,2754.41,37.58,2358.86
219,2025-01-21 17:00:00,2025-01-21,CP95_Donchian3Buy,BUY,2738.67,2753.04,38.23,2397.1
220,2025-01-30 16:00:00,2025-01-30,CP95_PinbarKeltnerBuy,BUY,2787.65,2798.38,40.13,2437.23
221,2025-01-30 16:00:00,2025-01-30,CP95_Donchian5Buy,BUY,2787.65,2797.89,38.95,2476.18
222,2025-01-30 16:00:00,2025-01-30,CP95_Donchian7Buy,BUY,2787.65,2797.99,39.95,2516.12
223,2025-01-30 16:00:00,2025-01-30,CP95_Donchian10Buy,BUY,2787.65,2798.13,41.17,2557.29
224,2025-01-30 16:00:00,2025-01-30,CP95_Donchian12Buy,BUY,2787.65,2798.28,42.42,2599.72
225,2025-01-30 16:00:00,2025-01-30,CP95_Donchian15Buy,BUY,2787.65,2798.38,43.52,2643.24
226,2025-01-30 16:00:00,2025-01-30,CP95_Donchian20Buy,BUY,2787.65,2798.87,42.25,2685.48
227,2025-01-30 16:00:00,2025-01-30,CP95_Donchian3Buy,BUY,2787.65,2797.89,42.92,2728.4
228,2025-02-03 15:00:00,2025-02-03,CP95_PinbarKeltnerBuy,BUY,2810.88,2827.62,46.49,2774.89
229,2025-02-03 15:00:00,2025-02-03,CP95_Donchian5Buy,BUY,2810.88,2826.86,45.14,2820.03
230,2025-02-03 15:00:00,2025-02-03,CP95_Donchian7Buy,BUY,2810.88,2827.01,46.31,2866.34
231,2025-02-03 15:00:00,2025-02-03,CP95_Donchian10Buy,BUY,2810.88,2827.24,47.73,2914.07
232,2025-02-03 15:00:00,2025-02-03,CP95_Donchian12Buy,BUY,2810.88,2827.47,49.21,2963.27
233,2025-02-03 15:00:00,2025-02-03,CP95_Donchian15Buy,BUY,2810.88,2827.62,50.49,3013.77
234,2025-02-03 15:00:00,2025-02-03,CP95_Donchian3Buy,BUY,2810.88,2826.86,49.02,3062.79
235,2025-02-06 03:00:00,2025-02-06,CP95_Donchian5Buy,BUY,2871.48,2863.06,-24.5,3038.29
236,2025-02-06 03:00:00,2025-02-06,CP95_Donchian3Buy,BUY,2871.48,2863.06,-24.31,3013.98
237,2025-02-21 20:00:00,2025-02-21,CP95_Donchian5Buy,BUY,2941.78,2933.49,-24.11,2989.87
238,2025-02-21 20:00:00,2025-02-21,CP95_Donchian7Buy,BUY,2941.78,2933.49,-23.92,2965.95
239,2025-02-21 20:00:00,2025-02-21,CP95_Donchian10Buy,BUY,2941.78,2933.49,-23.73,2942.22
