time,open,high,low,close,tick_volume,spread,real_volume,datetime_str
1560477600,1343.6,1344.5,1343.28,1344.4,680,25,0,2019-06-14 02:00:00
1560481200,1344.4,1344.92,1343.18,1343.89,972,24,0,2019-06-14 03:00:00
1560484800,1343.88,1344.18,1341.76,1343.57,1887,24,0,2019-06-14 04:00:00
1560488400,1343.57,1347.8,1343.57,1346.8,1909,24,0,2019-06-14 05:00:00
1560492000,1346.79,1347.26,1345.48,1345.48,1064,24,0,2019-06-14 06:00:00
1560495600,1345.48,1346.05,1344.54,1344.95,670,24,0,2019-06-14 07:00:00
1560499200,1344.95,1346.37,1344.25,1346.34,1100,24,0,2019-06-14 08:00:00
1560502800,1346.34,1355.43,1346.26,1355.11,3388,24,0,2019-06-14 09:00:00
1560506400,1355.11,1358.07,1354.41,1354.71,3010,23,0,2019-06-14 10:00:00
1560510000,1354.71,1355.75,1353.5,1353.89,1558,24,0,2019-06-14 11:00:00
1560513600,1353.88,1354.24,1351.99,1354.09,1976,24,0,2019-06-14 12:00:00
1560517200,1354.08,1355.59,1353.57,1353.73,1534,24,0,2019-06-14 13:00:00
1560520800,1353.71,1354.44,1352.75,1354.43,1666,24,0,2019-06-14 14:00:00
1560524400,1354.41,1355.28,1347.79,1348.68,4369,23,0,2019-06-14 15:00:00
1560528000,1348.68,1352.03,1345.73,1350.9,5777,23,0,2019-06-14 16:00:00
1560531600,1350.9,1352.12,1346.41,1348.45,4365,23,0,2019-06-14 17:00:00
1560535200,1348.45,1350.75,1347.59,1349.62,2055,23,0,2019-06-14 18:00:00
1560538800,1349.62,1350.01,1346.5,1347.0,1929,23,0,2019-06-14 19:00:00
1560542400,1346.99,1347.09,1337.76,1339.94,3851,24,0,2019-06-14 20:00:00
1560546000,1339.94,1341.35,1338.9,1340.95,1668,24,0,2019-06-14 21:00:00
1560549600,1340.96,1341.75,1339.87,1340.94,978,24,0,2019-06-14 22:00:00
1560553200,1340.94,1341.66,1340.73,1341.33,470,24,0,2019-06-14 23:00:00
1560733200,1341.77,1342.39,1340.83,1341.11,619,24,0,2019-06-17 01:00:00
1560736800,1341.11,1341.21,1338.48,1338.49,653,24,0,2019-06-17 02:00:00
1560740400,1338.49,1339.74,1337.81,1338.91,1280,23,0,2019-06-17 03:00:00
1560744000,1338.91,1341.54,1336.06,1340.7,2543,24,0,2019-06-17 04:00:00
1560747600,1340.7,1341.74,1339.77,1341.33,1248,24,0,2019-06-17 05:00:00
1560751200,1341.33,1343.42,1341.02,1342.14,842,24,0,2019-06-17 06:00:00
1560754800,1342.14,1342.24,1341.05,1341.26,452,24,0,2019-06-17 07:00:00
1560758400,1341.25,1341.47,1338.36,1339.01,1594,24,0,2019-06-17 08:00:00
1560762000,1339.01,1340.09,1336.6,1337.99,1721,24,0,2019-06-17 09:00:00
1560765600,1338.07,1338.59,1334.16,1335.02,2283,23,0,2019-06-17 10:00:00
1560769200,1335.02,1336.22,1333.34,1334.19,1923,23,0,2019-06-17 11:00:00
1560772800,1334.18,1334.32,1332.88,1333.84,1457,23,0,2019-06-17 12:00:00
1560776400,1333.84,1334.99,1333.1,1333.59,1331,24,0,2019-06-17 13:00:00
1560780000,1333.59,1336.95,1333.59,1335.73,1939,24,0,2019-06-17 14:00:00
1560783600,1335.73,1340.61,1335.7,1339.76,3368,23,0,2019-06-17 15:00:00
1560787200,1339.76,1343.13,1339.55,1340.49,4292,23,0,2019-06-17 16:00:00
1560790800,1340.58,1341.62,1336.9,1337.94,3907,24,0,2019-06-17 17:00:00
1560794400,1337.94,1341.18,1337.78,1340.76,2312,24,0,2019-06-17 18:00:00
1560798000,1340.77,1341.66,1339.6,1339.61,1184,24,0,2019-06-17 19:00:00
1560801600,1339.61,1340.46,1338.14,1338.75,1749,25,0,2019-06-17 20:00:00
1560805200,1338.76,1339.27,1337.96,1338.94,1352,24,0,2019-06-17 21:00:00
